"# Obligatorio | Identificador de contenido Ãºnico del artÃ­culo","# Obligatorio | TÃ­tulo especÃ­fico y relevante para el artÃ­culo.","# Obligatorio | A short and relevant description of the item.","# Obligatorio | The current availability of the item. ","# Obligatorio | The condition of the item. ","# Obligatorio | Precio del artÃ­culo.","# Obligatorio | URL de la pÃ¡gina del producto especÃ­fica donde las personas pueden comprar el artÃ­culo.","# Obligatorio | URL de la imagen principal de tu artÃ­culo. ","# Obligatorio | Marca del artÃ­culo. En su lugar; tambiÃ©n puedes ingresar un nÃºmero Ãºnico","# Opcional | CategorÃ­a de productos de Google para el artÃ­culo.","# Opcional | CategorÃ­a de productos de Facebook para el artÃ­culo.","# Opcional | The quantity of this item you have to sell on Facebook and Instagram with checkout.","# Opcional | Precio con descuento del artÃ­culo si estÃ¡ en oferta.","# Opcional | Intervalo del perÃ­odo de oferta;","# Opcional | Use this field to create variants of the same item.","# Opcional | Sexo de las personas a las que se dirige el artÃ­culo.","# Opcional | Color del artÃ­culo. Usa una o mÃ¡s palabras para describir el color.","# Opcional | TamaÃ±o o talle del artÃ­culo escrito como una palabra; ","# Opcional | Grupo de edad de las personas a las que se dirige el artÃ­culo.","# Opcional | The material the item is made from;","# Opcional | The pattern or graphic print on the item. Character limit: 100.","# Opcional | Detalles de envÃ­o del artÃ­culo; con el siguiente formato:","# Opcional | Peso del envÃ­o del artÃ­culo. Incluye la unidad de medida (lb/oz/g/kg)."
"66325","Brasier Copa D Con Diseño Romabra","Brasier Copa D Con Diseño Romabra","in stock","new","540","https://begima.com.mx/producto/123456723/pack/0","https://begima.com.mx/public/61a916b59892f1d.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","540","540","","female","black","M","adult","cotton","stripes","","2 kg"
"66323","Brasier Copa DD Con Diseño Romabra","Brasier Copa DD Con Diseño Romabra","in stock","new","510","https://begima.com.mx/producto/123456724/pack/0","https://begima.com.mx/public/61a9068b9ca5c888.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","510","510","","female","black","M","adult","cotton","stripes","","2 kg"
"66322","Top Colors Abertuta En Espalda Coobie","Top Colors Abertuta En Espalda Coobie","in stock","new","600","https://begima.com.mx/producto/123456725/pack/0","https://begima.com.mx/public/61a9036600050357.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","600","600","","female","black","M","adult","cotton","stripes","","2 kg"
"66321","Pantaleta/Bikini Encaje Haina","Pantaleta/Bikini Encaje Haina","in stock","new","280","https://begima.com.mx/producto/123456726/pack/0","https://begima.com.mx/public/61a8fde2d837fset.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","280","280","","female","black","M","adult","cotton","stripes","","2 kg"
"66320","Brasier Copa B Baily","Brasier Copa B Baily","in stock","new","780","https://begima.com.mx/producto/123456727/pack/0","https://begima.com.mx/public/61b3e472bd271123.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","780","780","","female","black","M","adult","cotton","stripes","","2 kg"
"66319","Brasier Copa B Con Tiras","Brasier Copa B Con Tiras","in stock","new","780","https://begima.com.mx/producto/123456728/pack/0","https://begima.com.mx/public/61a8f963d56bd159.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","780","780","","female","black","M","adult","cotton","stripes","","2 kg"
"66318","Brasier Copa B Miss Luna","Brasier Copa B Miss Luna","in stock","new","780","https://begima.com.mx/producto/123456729/pack/0","https://begima.com.mx/public/61a8f0ed3b7dd12.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","780","780","","female","black","M","adult","cotton","stripes","","2 kg"
"66317","Top Banda Colors Coobie","Top Banda Colors Coobie","in stock","new","299.5","https://begima.com.mx/producto/123456730/pack/0","https://begima.com.mx/public/61a8eb7973fb6789.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","299.5","299.5","","female","black","M","adult","cotton","stripes","","2 kg"
"66316","Top Basic Angelina","Top Basic Angelina","in stock","new","480","https://begima.com.mx/producto/123456731/pack/0","https://begima.com.mx/public/61a8e8b654581123.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","480","480","","female","black","M","adult","cotton","stripes","","2 kg"
"66315","Pantaleta/Bikini Encaje Piel De Luna","Pantaleta/Bikini Encaje Piel De Luna","in stock","new","210","https://begima.com.mx/producto/123456732/pack/0","https://begima.com.mx/public/61a80be4974a9111.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","210","210","","female","black","M","adult","cotton","stripes","","2 kg"
